,name,release_date,director(s),main_actors/actresses,average_rating_score,number_of_rating_people,brief_introduction
0,The Shawshank Redemption (1994),26 October 1995 (Hong Kong),Frank Darabont,Tim Robbins/Morgan Freeman/Bob Gunton,9.3,"2,014,034","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
0,The Godfather (1972),11 October 1973 (Hong Kong),Francis Ford Coppola,Marlon Brando/Al Pacino/James Caan,9.2,"1,380,001",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
0,The Godfather: Part II (1974),6 November 1975 (Hong Kong),Francis Ford Coppola,Al Pacino/Robert De Niro/Robert Duvall,9.0,"955,547","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
0,The Dark Knight (2008),17 July 2008 (Hong Kong),Christopher Nolan,Christian Bale/Heath Ledger/Aaron Eckhart,9.0,"1,982,504","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
0,12 Angry Men (1957),April 1957 (USA),Sidney Lumet,Henry Fonda/Lee J. Cobb/Martin Balsam,8.9,"564,639",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
0,Schindler's List (1993),17 March 1994 (Hong Kong),Steven Spielberg,Liam Neeson/Ralph Fiennes/Ben Kingsley,8.9,"1,039,634","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
0,The Lord of the Rings: The Return of the King (2003),12 March 2004 (China),Peter Jackson,Elijah Wood/Viggo Mortensen/Ian McKellen,8.9,"1,433,561",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
0,Pulp Fiction (1994),23 March 1995 (Hong Kong),Quentin Tarantino,John Travolta/Uma Thurman/Samuel L. Jackson,8.9,"1,572,139","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
0,"Il buono, il brutto, il cattivo (1966)",13 June 1968 (Hong Kong),Sergio Leone,Clint Eastwood/Eli Wallach/Lee Van Cleef,8.9,"596,877",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
0,Fight Club (1999),11 November 1999 (Hong Kong),David Fincher,Brad Pitt/Edward Norton/Meat Loaf,8.8,"1,611,376","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
0,The Lord of the Rings: The Fellowship of the Ring (2001),31 January 2002 (Hong Kong),Peter Jackson,Elijah Wood/Ian McKellen/Orlando Bloom,8.8,"1,450,200",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
0,Forrest Gump (1994),15 December 1994 (Hong Kong),Robert Zemeckis,Tom Hanks/Robin Wright/Gary Sinise,8.8,"1,534,290","The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
0,Star Wars: Episode V - The Empire Strikes Back (1980),8 August 1980 (Hong Kong),Irvin Kershner,Mark Hamill/Harrison Ford/Carrie Fisher,8.8,"1,011,331","After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader."
0,Inception (2010),1 September 2010 (China),Christopher Nolan,Leonardo DiCaprio/Joseph Gordon-Levitt/Ellen Page,8.8,"1,762,447",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
0,The Lord of the Rings: The Two Towers (2002),26 April 2003 (China),Peter Jackson,Elijah Wood/Ian McKellen/Viggo Mortensen,8.7,"1,295,889","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
0,One Flew Over the Cuckoo's Nest (1975),10 June 1976 (Hong Kong),Milos Forman,Jack Nicholson/Louise Fletcher/Will Sampson,8.7,"799,916",A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
0,Goodfellas (1990),1 November 1990 (Hong Kong),Martin Scorsese,Robert De Niro/Ray Liotta/Joe Pesci,8.7,"867,893","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
0,The Matrix (1999),31 March 1999 (USA),Lana Wachowski/Lilly Wachowski,Keanu Reeves/Laurence Fishburne/Carrie-Anne Moss,8.7,"1,444,906",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
0,Shichinin no samurai (1954),26 April 1954 (Japan),Akira Kurosawa,Toshir? Mifune/Takashi Shimura/Keiko Tsushima,8.7,"272,622",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
0,Cidade de Deus (2002),8 May 2003 (Hong Kong),Fernando Meirelles/K¨¢tia Lund,Alexandre Rodrigues/Leandro Firmino/Matheus Nachtergaele,8.6,"622,219","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
0,Se7en (1995),22 September 1995 (USA),David Fincher,Morgan Freeman/Brad Pitt/Kevin Spacey,8.6,"1,231,029","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
0,Star Wars (1977),26 January 1978 (Hong Kong),George Lucas,Mark Hamill/Harrison Ford/Carrie Fisher,8.6,"1,081,554","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the evil Darth Vader."
0,The Silence of the Lambs (1991),10 May 1991 (Hong Kong),Jonathan Demme,Jodie Foster/Anthony Hopkins/Lawrence A. Bonney,8.6,"1,080,601","A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
0,It's a Wonderful Life (1946),6 October 1949 (Hong Kong),Frank Capra,James Stewart/Donna Reed/Lionel Barrymore,8.6,"338,206",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
0,La vita ¨¨ bella (1997),4 March 1999 (Hong Kong),Roberto Benigni,Roberto Benigni/Nicoletta Braschi/Giorgio Cantarini,8.6,"526,311","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
0,The Usual Suspects (1995),15 September 1995 (USA),Bryan Singer,Kevin Spacey/Gabriel Byrne/Chazz Palminteri,8.6,"874,030","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
0,Sen to Chihiro no kamikakushi (2001),13 December 2001 (Hong Kong),Hayao Miyazaki/Kirk Wise,Daveigh Chase/Suzanne Pleshette/Miyu Irino,8.6,"529,793","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
0,Saving Private Ryan (1998),24 July 1998 (USA),Steven Spielberg,Tom Hanks/Matt Damon/Tom Sizemore,8.6,"1,061,523","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
0,L¨¦on (1994),14 September 1994 (France),Luc Besson,Jean Reno/Gary Oldman/Natalie Portman,8.6,"883,347","Mathilda, a 12-year-old girl, is reluctantly taken in by L¨¦on, a professional assassin, after her family is murdered. L¨¦on and Mathilda form an unusual relationship, as she becomes his prot¨¦g¨¦e and learns the assassin's trade."
0,The Green Mile (1999),9 March 2000 (Hong Kong),Frank Darabont,Tom Hanks/Michael Clarke Duncan/David Morse,8.5,"964,163","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
0,Interstellar (2014),12 November 2014 (China),Christopher Nolan,Matthew McConaughey/Anne Hathaway/Jessica Chastain,8.6,"1,225,282",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
0,Psycho (1960),12 January 1961 (Hong Kong),Alfred Hitchcock,Anthony Perkins/Janet Leigh/Vera Miles,8.5,"513,739","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
0,American History X (1998),20 November 1998 (USA),Tony Kaye,Edward Norton/Edward Furlong/Beverly D'Angelo,8.5,"918,361",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
0,City Lights (1931),3 October 1940 (Hong Kong),Charles Chaplin,Charles Chaplin/Virginia Cherrill/Florence Lee,8.5,"139,121","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
0,Once Upon a Time in the West (1968),25 September 1969 (Hong Kong),Sergio Leone,Henry Fonda/Charles Bronson/Claudia Cardinale,8.5,"260,875",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
0,Casablanca (1942),7 July 1943 (China),Michael Curtiz,Humphrey Bogart/Ingrid Bergman/Paul Henreid,8.5,"458,901",A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.
0,Modern Times (1936),7 May 1937 (Hong Kong),Charles Chaplin,Charles Chaplin/Paulette Goddard/Henry Bergman,8.5,"180,818",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
0,The Intouchables (2011),6 September 2012 (Hong Kong),Olivier Nakache/?ric Toledano,Fran?ois Cluzet/Omar Sy/Anne Le Ny,8.5,"641,527","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
0,The Pianist (2002),20 March 2003 (Hong Kong),Roman Polanski,Adrien Brody/Thomas Kretschmann/Frank Finlay,8.5,"611,567",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
0,The Departed (2006),6 October 2006 (Hong Kong),Martin Scorsese,Leonardo DiCaprio/Matt Damon/Jack Nicholson,8.5,"1,035,358",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
0,Terminator 2: Judgment Day (1991),1 August 1991 (Hong Kong),James Cameron,Arnold Schwarzenegger/Linda Hamilton/Edward Furlong,8.5,"873,447","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
0,Back to the Future (1985),14 December 1985 (Hong Kong),Robert Zemeckis,Michael J. Fox/Christopher Lloyd/Lea Thompson,8.5,"892,064","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
0,Whiplash (2014),16 October 2014 (Hong Kong),Damien Chazelle,Miles Teller/J.K. Simmons/Melissa Benoist,8.5,"578,117",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
0,Rear Window (1954),30 June 1955 (Hong Kong),Alfred Hitchcock,James Stewart/Grace Kelly/Wendell Corey,8.5,"382,558",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
0,Raiders of the Lost Ark (1981),11 December 1987 (China),Steven Spielberg,Harrison Ford/Karen Allen/Paul Freeman,8.5,"779,582","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
0,Gladiator (2000),25 May 2000 (Hong Kong),Ridley Scott,Russell Crowe/Joaquin Phoenix/Connie Nielsen,8.5,"1,164,052",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
0,The Lion King (1994),15 July 1995 (China),Roger Allers/Rob Minkoff,Matthew Broderick/Jeremy Irons/James Earl Jones,8.5,"793,741","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
0,The Prestige (2006),26 October 2006 (Hong Kong),Christopher Nolan,Christian Bale/Hugh Jackman/Scarlett Johansson,8.5,"1,023,674","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
0,Apocalypse Now (1979),27 March 1980 (Hong Kong),Francis Ford Coppola,Martin Sheen/Marlon Brando/Robert Duvall,8.5,"528,044","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe."
0,Memento (2000),11 October 2001 (Hong Kong),Christopher Nolan,Guy Pearce/Carrie-Anne Moss/Joe Pantoliano,8.5,"998,211",A man with short-term memory loss attempts to track down his wife's murderer.
0,Avengers: Infinity War (2018),11 May 2018 (China),Anthony Russo/Joe Russo,Robert Downey Jr./Chris Hemsworth/Mark Ruffalo,8.6,"519,124",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
0,Alien (1979),14 November 1979 (Hong Kong),Ridley Scott,Sigourney Weaver/Tom Skerritt/John Hurt,8.5,"687,045","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
0,The Great Dictator (1940),27 March 1947 (Hong Kong),Charles Chaplin,Charles Chaplin/Paulette Goddard/Jack Oakie,8.5,"172,275",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
0,Nuovo Cinema Paradiso (1988),18 January 1990 (Hong Kong),Giuseppe Tornatore,Philippe Noiret/Enzo Cannavale/Antonella Attili,8.5,"191,624",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
0,Hotaru no haka (1988),22 July 1989 (Hong Kong),Isao Takahata,Tsutomu Tatsumi/Ayano Shiraishi/Akemi Yamaguchi,8.5,"184,812",A young boy and his little sister struggle to survive in Japan during World War II.
0,Sunset Blvd. (1950),7 June 1951 (Hong Kong),Billy Wilder,William Holden/Gloria Swanson/Erich von Stroheim,8.4,"171,541","A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship."
0,The Lives of Others (2006),1 February 2007 (Hong Kong),Florian Henckel von Donnersmarck,Ulrich M¨¹he/Martina Gedeck/Sebastian Koch,8.4,"310,602","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),6 May 1965 (Hong Kong),Stanley Kubrick,Peter Sellers/George C. Scott/Sterling Hayden,8.4,"401,964",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
0,Paths of Glory (1957),November 1957 (West Germany),Stanley Kubrick,Kirk Douglas/Ralph Meeker/Adolphe Menjou,8.4,"149,072","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
0,The Shining (1980),2 June 1983 (Hong Kong),Stanley Kubrick,Jack Nicholson/Shelley Duvall/Danny Lloyd,8.4,"746,231","A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
0,Django Unchained (2012),12 May 2013 (China),Quentin Tarantino,Jamie Foxx/Christoph Waltz/Leonardo DiCaprio,8.4,"1,161,111","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
0,WALL¡¤E (2008),24 July 2008 (Hong Kong),Andrew Stanton,Ben Burtt/Elissa Knight/Jeff Garlin,8.4,"870,166","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
0,Mononoke-hime (1997),14 August 1997 (Hong Kong),Hayao Miyazaki,Y?ji Matsuda/Yuriko Ishida/Y?ko Tanaka,8.4,"280,926","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
0,Witness for the Prosecution (1957),6 February 1958 (USA),Billy Wilder,Tyrone Power/Marlene Dietrich/Charles Laughton,8.4,"86,304",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
0,American Beauty (1999),2 March 2000 (Hong Kong),Sam Mendes,Kevin Spacey/Annette Bening/Thora Birch,8.4,"960,530",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
0,The Dark Knight Rises (2012),27 August 2012 (China),Christopher Nolan,Christian Bale/Tom Hardy/Anne Hathaway,8.4,"1,339,735","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
0,Oldeuboi (2003),14 October 2004 (Hong Kong),Chan-wook Park,Min-sik Choi/Ji-tae Yu/Hye-jeong Kang,8.4,"439,306","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
0,Aliens (1986),25 December 1986 (Hong Kong),James Cameron,Sigourney Weaver/Michael Biehn/Carrie Henn,8.4,"580,855","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
0,Coco (2017),24 November 2017 (China),Lee Unkrich/Adrian Molina,Anthony Gonzalez/Gael Garc¨ªa Bernal/Benjamin Bratt,8.4,"232,413","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
