,Acquirer Name,0,1,2,3,4
0,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,"CHAMBANCO, INC.","EXCHANGE FINANCIAL, INC.","CBFH, INC.",BNH FINANCIAL
1,First Merchants,FIRST MERCHANTS CORPORATION,FIRST FARMERS AND MERCHANTS CORPORATION,FARMERS & MERCHANTS BANCORP,"FARMERS & MERCHANTS AGENCY, INC.","FARMERS & MERCHANTS BANCORP, INC."
2,Plaza Bank,"PLAZA AGENCY, INC.",HAZARD BANCORP,PLUMAS BANCORP,"LA PLATA BANCSHARES, INC.",BNP PARIBAS
3,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,PATHWAY BANCORP,"THAYER AGENCY, INC.","COASTWAY BANCORP, INC","AMBAGE, INC."
4,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","ASSOCIATED COMMUNITY BANCORP, INC.",COMMUNITYCORP,"UNITED COMMUNITY BANCSHARES, INC.","UNITED COMMUNITY BANCORP, INC."
5,Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,FIRST NATIONAL BANK CORP.,"MARS NATIONAL BANCORP, INC."
6,Ameris Bancorp,AMERIS BANCORP,"FARMMERC, INC.","AMERIGROUP, INC.","AMERIBANCSHARES, INC.","AMERISERV FINANCIAL, INC"
7,Sunshine Bancorp,"UNISOUTH, INC.","KES BANCSHARES, INC.","BANCSHARES, INC., THE","SUNSET BANCORP, INC.","LEWIS BANSHARES, INC."
8,Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.","HORIZON BANKSHARES, INC.",FIRST HORIZON NATIONAL CORPORATION,CNB CORPORATION
9,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.","MERCHANTS TRUST, INC.","MACON BANCTRUST, INC.",INTRUST FINANCIAL CORPORATION
10,PacWest Bancorp,PACWEST BANCORP,"BANCWEST, INC.",CALWEST BANCORP,"AVEST, INC.","WESTBRAND, INC."
11,WSFS Financial,"WFC, INC.","SSB, INC.",FSB CORP.,"KSRS, LLC","SSNB, INC."
12,Howard Bancorp,"HOWARD BANCORP, INC.","FIRST HOWARD BANKSHARES, INC.",HOWARD COUNTY LAND AND CATTLE CO.,"OHNWARD BANCSHARES, INC.",HAZARD BANCORP
13,Western Alliance Bancorp,WESTERN ALLIANCE BANCORPORATION,"CORNERSTONE ALLIANCE, LTD.","WESTERN ILLINOIS BANCSHARES, INC.","WESTERN BANCSHARES, INC.","WESTERN ARIZONA BANCORP, INC."
14,Veritex Holdings,"VERITEX HOLDINGS, INC.","STEELE HOLDINGS, INC.","RAM SECURITY HOLDINGS GP, INC.","OTTEN HOLDINGS, LLC","PIPER HOLDINGS, INC."
15,Carolina Alliance Bank,"CORNERSTONE ALLIANCE, LTD.",ALLIANCE BANCORP,"COASTAL CAROLINA BANCSHARES, INC.","CAROLINA BANK HOLDINGS, INC.",FIRST CAROLINA BANCSHARES CORPORATION
16,Seacoast Bankg of Florida,STATE BANK OF INDIA,"BRANNEN BANKS OF FLORIDA, INC.","COMMUNITY BANK OF SOUTH FLORIDA, INC.",COAST BANCORP,"BANK OF NOVA SCOTIA, THE"
17,First Interstate BancSystem In,"FIRST INTERSTATE BANCSYSTEM, INC.","FIRST STATE BANCSHARES, INC.","FIRST NEBRASKA BANCS, INC.","FIRST INTERNATIONAL BANCSHARES, INC.","FIRST STATE BANCORP, INC."
18,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.","MERCHANTS TRUST, INC.","MACON BANCTRUST, INC.",INTRUST FINANCIAL CORPORATION
19,Camden National,CAMDEN NATIONAL CORPORATION,AMG NATIONAL CORP.,AMES NATIONAL CORPORATION,FARMERS NATIONAL BANC CORP.,DELTA NATIONAL BANCORP
20,Delmarva Bancshares,"DELMARVA BANCSHARES, INC.",DELMAR BANCORP,DREXEL MORGAN & CO.,"DENMARK BANCSHARES, INC.","DELAWARE BANCSHARES, INC."
