,Acquirer Name,0,1,2,3,4
0,Chemical Financial,CHEMICAL FINANCIAL CORPORATION,BNH FINANCIAL,"BELLE FOURCHE BANCSHARES, INC.",COMERICA INCORPORATED,"PEOPLES NATIONAL BANCSHARES OF CHECOTAH, INC."
1,First Merchants,FIRST MERCHANTS CORPORATION,"MERCHANTS FINANCIAL SERVICES, INC.","FIRST VERNON BANCSHARES, INC.","COMMUNITY FIRST BANCSHARES, INC.","FIRST COMMUNITY BANCORP, INC"
2,Plaza Bank,"PLAZA AGENCY, INC.","LA PLATA BANCSHARES, INC.",GV BANCORP EMPLOYEE STOCK OWNERSHIP PLAN,UNITED CITIZENS 401(K) SAVINGS PLAN,ABC EMPLOYEE STOCK OWNERSHIP PLAN
3,Cathay Gen Bancorp,CATHAY GENERAL BANCORP,PATHWAY BANCORP,"THAYER AGENCY, INC.","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",GREEN CITY BANCSHARES INC.
4,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","UNITED COMMUNITY BANCORP, INC.",UNITED COMMUNITY FINANCIAL CORPORATION,"ASSOCIATED COMMUNITY BANCORP, INC.","UNITED COMMUNITY BANCSHARES, INC."
5,Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.","AUBURN NATIONAL BANCORPORATION, INC.","TRADERS & FARMERS BANCSHARES, INC.","MERCHANTS AND FARMERS BANCSHARES, INC."
6,Ameris Bancorp,"AMERISERV FINANCIAL, INC",AMERIS BANCORP,"FARMERS DEPOSIT BANCORP, INC.",FARMERS STATE FINANCIAL CORP.,"FARMERS BANCSHARES, INC."
7,Sunshine Bancorp,"BUSINESS BANCSHARES, INC.","BUSINESS FIRST BANCSHARES, INC.","SUNSET BANCORP, INC.","RURAL BANCSHARES OF WISCONSIN, INC.","NORTHWEST WISCONSIN BANCORP, INC."
8,Horizon Bancorp,HORIZON BANCORP,FIRST HORIZON NATIONAL CORPORATION,"HORIZON BANKSHARES, INC.","HORIZON BANCORP, INC.","ORION BANCORPORATION, INC."
9,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.",NORTHERN TRUST CORPORATION,FIRST FONTANELLE EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST
10,PacWest Bancorp,PACWEST BANCORP,"BANCWEST, INC.",ALL WEST BANCORP,"FIRST BLANCHESTER BANCSHARES, INC.","DAKOTA WESTERN BANKSHARES, INC."
11,WSFS Financial,"WESSINGTON BANKSHARES, INC.","FS BANCSHARES, INC.","FSB BANKSHARES, INC.","FSC BANCSHARES, INC.","FSB BANCSHARES, INC."
12,Howard Bancorp,HOWARD COUNTY LAND AND CATTLE CO.,"FIRST HOWARD BANKSHARES, INC.","HOWARD BANCORP, INC.","OHNWARD BANCSHARES, INC.",ORCHARD BANCORP.
13,Western Alliance Bancorp,WESTERN ALLIANCE BANCORPORATION,WESTERN HOLDING COMPANY OF WOLF POINT,WESTERN DAKOTA HOLDING COMPANY,1867 WESTERN FINANCIAL CORPORATION,"WESTERN ILLINOIS BANCSHARES, INC."
14,Veritex Holdings,"VERITEX HOLDINGS, INC.","BRAND GROUP HOLDINGS, INC.","J & B FINANCIAL HOLDINGS, INC.","PROFINIUM FINANCIAL HOLDINGS, INC.","GRIFFITH FAMILY FINANCIAL HOLDINGS, L.L.C."
15,Carolina Alliance Bank,"PEOPLES BANCORP OF NORTH CAROLINA, INC.","ALLIANCE FINANCIAL SERVICES, INC.","INDEPENDENT ALLIANCE BANKS, INC.",FIRST CAROLINA BANCSHARES CORPORATION,BANK OF SOUTH CAROLINA CORPORATION
16,Seacoast Bankg of Florida,"PIONEER BANCSHARES, INC. OF HORATIO, ARK","BANK OF NEW YORK MELLON CORPORATION, THE","PEOPLES FINANCIAL CORP. OF ILLINOIS, INC.",EMPLOYEE STOCK BONUS TRUST FOR THE EMPLOYEES OF CITIZENS BANK,"SECURITY STATE BANCSHARES OF BEMIDJI, INC."
17,First Interstate BancSystem In,"FIRST INTERSTATE BANCSYSTEM, INC.",FIRST FONTANELLE EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,"FIRST NATIONAL HOLDING COMPANY OF JACKSON, THE","FIRST BANCORP, INC.",FIRST LIBERTY CAPITAL CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN
18,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.",NORTHERN TRUST CORPORATION,FIRST FONTANELLE EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST
19,Camden National,CAMDEN NATIONAL CORPORATION,"AUBURN NATIONAL BANCORPORATION, INC.","FIRST NATIONAL BANCORP, INC.",SIMMONS FIRST NATIONAL CORPORATION,AMES NATIONAL CORPORATION
20,Delmarva Bancshares,"DELMARVA BANCSHARES, INC.",DELMAR BANCORP,"PREMARA FINANCIAL, INC.",DELTA BANCSHARES COMPANY,"CEDAR VALLEY BANKSHARES, LTD."
21,First Finl Bankshares,"FIRST BANKSHARES, INC.","FIRST BANKSHARES OF LAS ANIMAS, INC.",DEWITT FIRST BANKSHARES CORPORATION,"WASHINGTONFIRST BANKSHARES, INC.","FIRST VERNON BANCSHARES, INC."
22,Wintrust Financial,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,"SUNTRUST BANKS, INC.",NORTHERN TRUST CORPORATION,FIRST FONTANELLE EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST
23,Pinnacle Financial Partners,"PINNACLE BANCORP, INC.",PINNACLE BANKSHARES CORPORATION,"PINNACLE BANCSHARES, INC.",PINNACLE FINANCIAL CORPORATION,"PINNACLE BANK HOLDING COMPANY, INC."
24,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCORP, INC.","HEARTLAND BANCSHARES, INC.","AMERICAN HEARTLAND BANCSHARES, INC."
25,Hamilton Bancorp,"HAMILTON STATE BANCSHARES, INC.","WEST MILTON BANCORP, INC.","MILTON BANCORP, INC.","MILTON BANCSHARES, INC.","CHARITON COUNTY BANCSHARES, INC."
26,CenterState Banks,"CENTERSTATE BANKS, INC.","FIRST INTERSTATE BANCSYSTEM, INC.","AMERICAN INTERSTATE BANCORPORATION, INC.","ROCHESTER STATE BANKSHARES, INC.","NORTHERN INTERSTATE FINANCIAL, INC."
27,Unitedmmunity Banks,"UNITED COMMUNITY BANKS, INC.","UNITED COMMUNITY BANCORP, INC.",UNITED COMMUNITY FINANCIAL CORPORATION,"ASSOCIATED COMMUNITY BANCORP, INC.","UNITED COMMUNITY BANCSHARES, INC."
28,Heritagemmerce,HERITAGE COMMERCE CORP,HERITAGE FINANCIAL CORPORATION,"HERITAGE GROUP, INC.",HERITAGE BANCORP,"HERITAGE BANCORP, INC."
29,Merchants Bancshares,"MERCHANTS FINANCIAL SERVICES, INC.","MERCHANTS AND FARMERS BANCSHARES, INC.",FARMERS & MERCHANTS BANCORP,FIRST FARMERS AND MERCHANTS CORPORATION,"FARMERS AND MERCHANTS BANCORP, THE"
30,Pinnacle Financial Partners,"PINNACLE BANCORP, INC.",PINNACLE BANKSHARES CORPORATION,"PINNACLE BANCSHARES, INC.",PINNACLE FINANCIAL CORPORATION,"PINNACLE BANK HOLDING COMPANY, INC."
31,Bank of the Ozarks,"CITIZENS BANCORP OF WINFIELD, INC.","UNITED BANCORPORATION OF ALABAMA, INC.","PIONEER BANCSHARES, INC. OF HORATIO, ARK",WESTERN HOLDING COMPANY OF WOLF POINT,PEOPLES BANCSHARES OF GAMBIER INC.
32,Baylake,BAYLAKE CORP.,BAYBANK CORPORATION,CAYUGA LAKE BANK CORPORATION,"BAY AREA BANKING SHARES, INC.","FIRST STATE BANCSHARES OF BLAKELY, INC."
33,Firstmmonwealth Finl,FIRST COMMONWEALTH FINANCIAL CORPORATION,"COMMONWEALTH BANCSHARES, INC.","COMMONWEALTH HOLDINGS, L.L.C.",IOWA FIRST BANCSHARES CORP.,FIRST MIDWEST ACQUISITION CORPORATION
34,FNB Bancorp,"CCFNB BANCORP, INC.",FNBC BANCORP INC,FNB CORPORATION,FNB BANCORP,"FNB BANCSHARES, INC."
35,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCORP, INC.","HEARTLAND BANCSHARES, INC.","AMERICAN HEARTLAND BANCSHARES, INC."
36,Southwest Bancorp,"SOONER SOUTHWEST BANKSHARES, INC.",SOUTHWEST GEORGIA FINANCIAL CORPORATION,"SOUTHWEST CAPITAL, L.L.C.","SOUTHWEST BANCORP, INC.",FIRST SOUTHWEST CORPORATION
37,Green Bancorp,"GREENSBORO BANCSHARES, INC.","GREENWOOD COUNTY FINANCIAL SERVICES, INC.",PUTNAM-GREENE FINANCIAL CORPORATION,GREENE INVESTMENT CO.,"GREENFIELD BANCORPORATION, LTD"
38,FNB,"CCFNB BANCORP, INC.",FNBC BANCORP INC,FNB CORPORATION,FNB BANCORP,"FNB BANCSHARES, INC."
39,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.",HOOSIER HEARTLAND STATE BANCORP,"HEARTLAND BANCORP, INC.","HEARTLAND BANCSHARES, INC.","AMERICAN HEARTLAND BANCSHARES, INC."
40,BNC Bancorp,BNC BANCORP,"BNCCORP, INC.",NBN CORPORATION,"RBC, INC.","GADSDEN CORPORATION, THE"
41,Home BancShares,"PEOPLES HOME HOLDING, INC","HOME BANCSHARES, INC.","HOMETOWN FINANCIAL GROUP, INC.","HOMETOWN BANCORP, LTD.","HOME STATE BANCORP, INC."
42,PBB Bancorp,PBB BANCORP,TPB BANCORP,"PB FINANCIAL GROUP, INC.","SHARP BANCSHARES, INC.","TCB BANCSHARES, INC."
43,Northwest Bancorp,STATE BANCORP NORTHWEST,NORTHWEST FINANCIAL CORP.,"NORTHWEST WISCONSIN BANCORP, INC.","NORTHWESTERN BANCSHARES, INC.",NORTHWEST INVESTMENT CORP.
44,Juniata Valley Financial,JUNIATA VALLEY FINANCIAL CORP.,OHIO VALLEY BANC CORP.,"VALLEY VIEW BANCSHARES, INC.",PLATTE VALLEY CATTLE COMPANY,"LAKE VALLEY BANCORP, INC."
45,First Merchants,FIRST MERCHANTS CORPORATION,"MERCHANTS FINANCIAL SERVICES, INC.","FIRST VERNON BANCSHARES, INC.","COMMUNITY FIRST BANCSHARES, INC.","FIRST COMMUNITY BANCORP, INC"
46,Citizens Finl Svcs,"CITIZENS BANCORP OF WINFIELD, INC.",CITIZENS CORPORATION,"CITIZENS BANKSHARES, INC.","CITIZENS BANCORP OF VIRGINIA, INC.","CITIZENS BANCSHARES, INC."
47,Premier Finl Bancorp,"PREMIER COMMERCE BANCORP, INC.","PREMIER BANCORP OF ILLINOIS, INC.","PREMIER FINANCIAL BANCORP, INC.","PREMIER BANCSHARES, INC.","PACIFIC PREMIER BANCORP, INC."
