,CONAME,address,lat,lng,distance
0,AAR CORP,"One AAR Place, 1100 North Wood Dale Road, Wood Dale, IL, 60191",41.987092,-87.98127799999999,10919.784575
1,AMERICAN AIRLINES GROUP INC,"4333 Amon Carter Boulevard, Fort Worth, TX, 76155",32.8280655,-97.05071389999999,12039.791824
2,PINNACLE WEST CAPITAL CORP,"400 North 5th Street, Phoenix, AZ, 85004",33.4524787,-112.0677898,11939.198625
3,AARON'S INC,"309 East Paces Ferry Road, NE, Atlanta, GA, 30305",33.8389925,-84.3776139,11727.211303
4,ABBOTT LABORATORIES,"100 Abbott Park Road, Abbott Park, IL, 60064",42.3021137,-87.8915621,10884.016228
5,ACETO CORP,"4 Tri Harbor Court, Port Washington, NY, 11050",40.812681,-73.66364639999999,10691.476163
6,ADVANCED MICRO DEVICES,"One AMD Place, PO Box 3453, Sunnyvale, CA, 94088",37.3829254,-121.9703842,11337.341453
7,AETNA INC,"151 Farmington Avenue, Hartford, CT, 6156",41.7678127,-72.6909539,10562.105344
8,AIR PRODUCTS & CHEMICALS INC,"7201 Hamilton Boulevard, Allentown, PA, 18195",40.5517321,-75.5986205,10779.088765
9,ALASKA AIR GROUP INC,"19300 International Boulevard, Seattle, WA, 98188",47.4292312,-122.2931934,10252.144943
10,MATSON INC,"1411 Sand Island Parkway, Honolulu, HI, 96819",21.309359,-157.8818136,11234.5106
11,ALLEGHANY CORP,"7 Times Square Tower, New York, NY, 10036",40.7554585,-73.98690549999999,10707.736299
12,HONEYWELL INTERNATIONAL INC,"115 Tabor Road, Morris Plains, NJ, 7950",40.8358456,-74.4771042,10715.008974
13,SKYWORKS SOLUTIONS INC,"20 Sylvan Road, Woburn, MA, 1801",42.4993304,-71.1645583,10436.992691
14,ALCOA INC,"390 Park Avenue, New York, 10022",40.7597285,-73.97294769999999,10706.851034
15,HESS CORP,"1185 Avenue of the Americas, 40th Floor, New York, NY, 10036",40.7579714,-73.98231419999999,10707.331204
16,ABM INDUSTRIES INC,"551 Fifth Avenue, Suite 300, New York, NY, 10176",40.7553825,-73.9788937,10707.487883
17,PRIMERICA INC,"1 Primerica Parkway, Duluth, GA, 30099",33.9858166,-84.09776,11704.791197
18,US ECOLOGY INC,"251 East Front Street, Suite 400, Boise, ID, 83702",43.6085987,-116.1955496,10770.253595
19,AMERICAN ELECTRIC POWER CO,"1 Riverside Plaza, Columbus, OH, 43215",39.9650383,-83.0064261,11039.151967
20,AMERICAN EXPRESS CO,"200 Vesey Street, New York, NY, 10285",40.7138829,-74.0146871,10712.897985
21,AFLAC INC,"1932 Wynnton Road, Columbus, GA, 31999",32.4672389,-84.9637973,11888.242939
22,AMERICAN INTERNATIONAL GROUP,"175 Water Street, New York, NY, 10038",40.7063657,-74.0051548,10713.365845
23,AMERICAN SCIENCE ENGINEERING,"829 Middlesex Turnpike, Billerica, MA, 1821",42.5242917,-71.2551247,10437.514603
24,AMERICAN VANGUARD CORP,"4695 Macarthur Court, Newport Beach, CA, 92660",33.6704415,-117.8623243,11824.693184
25,AMETEK INC,"1100 Cassatt Road, Berwyn, PA, 19312",40.0619112,-75.4635121,10825.674338
26,AMGEN INC,"One Amgen Center Drive, Thousand Oaks, CA, 91320",34.192136,-118.919477,11747.183796
27,ANALOG DEVICES,"One Technology Way, PO Box 9106, Norwood, MA, 2062",42.2104866,-71.18062359999999,10466.794129
28,ANALOGIC CORP,"8 Centennial Drive, Peabody, MA, 1960",42.524044,-70.959862,10427.566501
29,ANDERSONS INC,"480 West Dussel Drive, PO Box 119, Maumee, OH, 43537",41.57931000000001,-83.6794696,10881.222026
30,NABORS INDUSTRIES LTD,"Crown House, Second Floor, 4 Par-la-Ville Road, Hamilton, HM 08",32.2953168,-64.78837440000001,11194.462795
31,APACHE CORP,"One Post Oak Central, Suite 100, 2000 Post Oak Boulevard, Houston, TX, 77056",29.745399,-95.4627507,12365.422352
32,APOGEE ENTERPRISES INC,"4400 West 78th Street, Suite 520, Minneapolis, MN, 55435",44.8594519,-93.3359796,10677.640857
33,APPLE INC,"1 Infinite Loop, Cupertino, CA, 95014",37.3324975,-122.0289785,11341.403268
34,APPLIED MATERIALS INC,"3050 Bowers Avenue, PO Box 58039, Santa Clara, CA, 95052",37.3776247,-121.9787818,11337.717432
35,ACTUANT CORP  -CL A,"N86 W12500 Westbrook Crossing, Menomonee Falls, WI, 53051",43.1733188,-88.0649924,10792.118424
36,ARCHER-DANIELS-MIDLAND CO,"77 West Wacker Drive, Suite 4600, Chicago, IL, 60601",41.8864235,-87.6307509,10924.763814
37,ARCBEST CORP,"3801 Old Greenwood Road, Fort Smith, AR, 72917",35.3456509,-94.3936908,11736.98039
38,ARROW ELECTRONICS INC,"9201 East Dry Creek Road, Centennial, CO, 80112",39.5815619,-104.882257,11311.52375
39,ASHLAND INC,"50 East RiverCenter Boulevard, PO Box 391, Covington, KY, 41012",39.0901115,-84.50983269999999,11166.477624
40,AGL RESOURCES INC,"Ten Peachtree Place NE, Atlanta, GA, 30309",33.781014,-84.38700299999999,11733.649949
41,ATWOOD OCEANICS,"15011 Katy Freeway, Suite 800, Houston, TX, 77094",29.783886,-95.6471917,12363.09337
42,REX AMERICAN RESOURCES CORP,"7720 Paragon Road, Dayton, OH, 45459",39.6315467,-84.1804138,11101.153934
43,AUTODESK INC,"111 McInnis Parkway, San Rafael, CA, 94903",38.0054016,-122.530873,11257.719416
44,AUTOMATIC DATA PROCESSING,"One ADP Boulevard, Roseland, NJ, 7068",40.8155809,-74.31007,10711.828615
45,AVERY DENNISON CORP,"207 Goode Avenue, Glendale, CA, 91203",34.157038,-118.256557,11764.257942
46,AVNET INC,"2211 South 47th Street, Phoenix, AZ, 85034",33.4274752,-111.9800088,11942.99433
47,AVON PRODUCTS,"777 Third Avenue, New York, NY, 10017",40.7546823,-73.9711111,10707.310885
48,AZZ INC,"One Museum Place, Suite 500, 3100 West Seventh Street, Fort Worth, TX, 76107",32.751472,-97.3623552,12050.649701
49,BADGER METER INC,"4545 West Brown Deer Road, Milwaukee, WI, 53223",43.17578690000001,-87.9686175,10790.268148
50,BAKER HUGHES INC,"2929 Allen Parkway, Suite 2100, Houston, TX, 77019",29.7607456,-95.3974727,12363.042992
51,BALCHEM CORP  -CL B,"52 Sunrise Park Road, New Hampton, NY, 10958",41.4184432,-74.4242946,10653.322691
52,BALL CORP,"10 Longs Peak Drive, PO Box 5000, Broomfield, CO, 80021",39.91174729999999,-105.0996988,11274.354759
53,BANK OF HAWAII CORP,"130 Merchant Street, Honolulu, HI, 96813",21.3084038,-157.8623345,11235.901177
54,BANK OF NEW YORK MELLON CORP,"One Wall Street, New York, NY, 10286",40.707491,-74.0116385,10713.457537
55,BARD (C.R.) INC,"730 Central Avenue, Murray Hill, NJ, 7974",40.6973892,-74.4108664,10727.185455
56,BARNES GROUP INC,"123 Main Street, Bristol, CT, 6010",41.6705843,-72.9430563,10580.259766
57,BARRICK GOLD CORP,"Brookfield Place, TD Canada Trust Tower, Suite 3700, 161 Bay, Toronto, ON, M5J 2S1",43.6464513,-79.37850399999999,10560.454168
58,BAXTER INTERNATIONAL INC,"One Baxter Parkway, Deerfield, IL, 60015",42.1594315,-87.87728100000001,10899.291265
59,APPLIED INDUSTRIAL TECH INC,"1 Applied Plaza, Cleveland, OH, 44115",41.5038066,-81.66423619999999,10843.587743
60,BECTON DICKINSON & CO,"1 Becton Drive, Franklin Lakes, NJ, 7417",41.017009,-74.2106872,10687.952636
61,BEL FUSE INC,"206 Van Vorst Street, Jersey City, NJ, 7302",40.7145338,-74.04089069999999,10713.668505
62,VERIZON COMMUNICATIONS INC,"1095 Avenue of the Americas, New York, NY, 10036",40.7546766,-73.9849313,10707.75353
63,BEMIS CO INC,"One Neenah Center, 4th Floor, PO Box 669, Neenah, WI, 54957",44.1860429,-88.4599966,10688.156514
64,BERKSHIRE HATHAWAY,"3555 Farnam Street, Suite 1440, Omaha, NE, 68131",41.2571596,-95.965497,11099.471132
65,BEST BUY CO INC,"7601 Penn Avenue South, Richfield, MN, 55423",44.8645052,-93.305217,10676.766044
66,BIO-RAD LABORATORIES INC,"1000 Alfred Nobel Drive, Hercules, CA, 94547",38.023058,-122.279823,11261.639452
67,BLACK HILLS CORP,"625 Ninth Street, Rapid City, SD, 57701",44.0802357,-103.2336383,10814.00869
68,BLOCK H & R INC,"One H&R Block Way, Kansas City, MO, 64105",39.098401,-94.58305399999999,11325.369304
69,ENSCO PLC,"6 Chesterfield Gardens, London, W1J 5BQ",51.5071111,-0.1491054,5931.985722
70,BOB EVANS FARMS,"8111 Smith's Mill Road, New Albany, OH, 43054",40.0811946,-82.76694909999999,11021.212954
71,BOEING CO,"100 North Riverside, Chicago, IL, 60606",41.8841375,-87.6388423,10925.151515
72,ROBERT HALF INTL INC,"2884 Sand Hill Road, Menlo Park, CA, 94025",37.4219437,-122.2151303,11327.524191
73,BRADY CORP,"6555 West Good Hope Road, Milwaukee, WI, 53223",43.1471647,-87.9919625,10793.766333
74,BRIGGS & STRATTON,"12301 West Wirth Street, Wauwatosa, WI, 53222",43.0822259,-88.0652353,10802.035369
75,BRISTOL-MYERS SQUIBB CO,"345 Park Avenue, New York, NY, 10154",40.7579261,-73.972213,10707.012768
76,BROWN FORMAN CORP,"850 Dixie Highway, Louisville, KY, 40210",38.244955,-85.7837243,11284.332919
77,CALERES INC,"8300 Maryland Avenue, St. Louis, MO, 63105",38.6525531,-90.3471117,11321.218117
78,BRUNSWICK CORP,"1 North Field Court, Lake Forest, IL, 60045",42.2412537,-87.88912810000001,10890.593501
79,MATERION CORP,"6070 Parkland Boulevard, Mayfield Heights, OH, 44124",41.507836,-81.457408,10838.222199
80,ACXIOM CORP,"601 East Third Street, PO Box 8190, Little Rock, AR, 72203",34.7461459,-92.28785669999999,11776.989948
81,CDI CORP,"1717 Arch Street, 35th Floor, Philadelphia, PA, 19103",39.9553097,-75.1692673,10827.569493
82,CIGNA CORP,"900 Cottage Grove Road, Bloomfield, CT, 6002",41.8128862,-72.7469102,10559.328928
83,CSX CORP,"500 Water Street, 15th Floor, Jacksonville, FL, 32202",30.32452109999999,-81.6640579,12030.813138
84,CTS CORP,"1142 West Beardsley Avenue, Elkhart, IN, 46514",41.6940433,-85.9930796,10915.902881
85,CABOT CORP,"Two Seaport Lane, Suite 1300, Boston, MA, 2210",42.3488519,-71.0409079,10448.045481
86,CACI INTL INC  -CL A,"1100 North Glebe Road, Arlington, VA, 22201",38.883444,-77.118044,10998.266726
87,CALAMP CORP,"1401 North Rice Avenue, Oxnard, CA, 93030",34.214656,-119.1428804,11740.155744
88,CAMPBELL SOUP CO,"1 Campbell Place, Camden, NJ, 8103",39.9394842,-75.1079245,10827.288229
89,CONSTELLATION BRANDS  -CL A,"207 High Point Drive, Building 100, Victor, NY, 14564",43.029708,-77.435198,10574.189775
90,CARDINAL HEALTH INC,"7000 Cardinal Place, Dublin, OH, 43017",40.1090076,-83.1210856,11026.370724
91,CARLISLE COS INC,"11605 North Community House Road, Suite 600, Charlotte, NC, 28277",35.059272,-80.83924929999999,11506.593086
92,CARPENTER TECHNOLOGY CORP,"2 Meridian Boulevard, Wyomissing, PA, 19610",40.35446109999999,-75.9835598,10811.220013
93,CASEYS GENERAL STORES INC,"One Convenience Boulevard, Ankeny, IA, 50021",41.693711,-93.57316999999999,11028.881595
94,CATERPILLAR INC,"100 NE Adams Street, Peoria, IL, 61629",40.69176960000001,-89.5884418,11086.845861
95,CATO CORP  -CL A,"8100 Denmark Road, Charlotte, NC, 28273",35.127344,-80.88055899999999,11500.521084
96,CLECO CORP,"2030 Donahue Ferry Road, Pineville, LA, 71360",31.3384087,-92.418066,12152.479997
97,CENTURYLINK INC,"100 CenturyLink Drive, Monroe, LA, 71203",32.5895496,-92.0669497,12010.309646
98,MAGELLAN HEALTH INC,"4800 Scottsdale Road, Suite 4400, Scottsdale, AZ, 85251",33.5084767,-111.9274039,11934.704423
99,CANTEL MEDICAL CORP,"150 Clove Road, 9th Floor, Little Falls, NJ, 7424",40.8713065,-74.1954627,10702.463842
100,CHECKPOINT SYSTEMS INC,"101 Wolf Drive, PO Box 188, Thorofare, NJ, 8086",39.831235,-75.19167,10841.094104
101,CHEMED CORP,"255 East Fifth Street, Suite 2600, Cincinnati, OH, 45202",39.1016183,-84.50837159999999,11165.209117
102,JPMORGAN CHASE & CO,"270 Park Avenue, New York, NY, 10017",40.7558,-73.9754,10707.333223
103,CHEVRON CORP,"6001 Bollinger Canyon Road, San Ramon, CA, 94583",37.7582505,-121.9580965,11297.378383
104,BRINKER INTL INC,"6820 LBJ Freeway, Dallas, TX, 75240",32.9239341,-96.78740979999999,12027.080728
105,CHUBB CORP,"15 Mountain View Road, Warren, NJ, 7059",40.6454898,-74.57310009999999,10737.646823
106,CHURCH & DWIGHT INC,"Princeton South Corporate Center, 500 Charles Ewing Boulevar, Ewing, NJ, 8628",40.2868977,-74.7870701,10781.356154
107,CINCINNATI BELL INC,"221 East Fourth Street, Cincinnati, OH, 45202",39.1003055,-84.5086299,11165.35582
108,CINTAS CORP,"6800 Cintas Boulevard, PO Box 625737, Cincinnati, OH, 45262",39.34118160000001,-84.282986,11134.575464
109,CLARCOR INC,"840 Crescent Centre Drive, Suite 600, Franklin, TN, 37067",35.9428566,-86.81125910000002,11553.918107
110,CLOROX CO/DE,"1221 Broadway, Oakland, CA, 94612",37.80346309999999,-122.272345,11285.334274
111,COCA-COLA CO,"One Coca-Cola Plaza, Atlanta, GA, 30313",33.7704809,-84.3973221,11735.024367
112,COHERENT INC,"5100 Patrick Henry Drive, Santa Clara, CA, 95054",37.404801,-121.9851671,11334.657658
113,COHU INC,"12367 Crosthwaite Circle, Poway, CA, 92064",32.9442912,-117.0395032,11919.094624
114,COLGATE-PALMOLIVE CO,"300 Park Avenue, New York, NY, 10022",40.7570209,-73.97466949999999,10707.184379
115,AON PLC,"The Leadenhall Building, 122 Leadenhall Street, London, EC3V 4AN",51.5139404,-0.0822608,5927.345707
116,COMCAST CORP,"One Comcast Center, Philadelphia, PA, 19103",39.9547564,-75.1685345,10827.603811
117,COMERICA INC,"Comerica Bank Tower, 1717 Main Street, MC 6404, Dallas, TX, 75201",32.7815695,-96.79645479999999,12042.8826
118,COMMERCE BANCSHARES INC,"1000 Walnut Street, Kansas City, MO, 64106",39.1021449,-94.5825038,11324.950951
119,CITIGROUP INC,"399 Park Avenue, New York, NY, 10022",40.7592723,-73.9720349,10706.868719
120,COMMERCIAL METALS,"6565 North MacArthur Boulevard, Suite 800, Irving, TX, 75039",32.8982848,-96.95990979999999,12031.312023
121,CA INC,"520 Madison Avenue, 22nd Floor, New York, NY, 10022",40.760264,-73.9745165,10706.846182
122,COMPUTER SCIENCES CORP,"3170 Fairview Park Drive, Falls Church, VA, 22042",38.8604305,-77.21437829999999,11003.527839
123,COMTECH TELECOMMUN,"68 South Service Road, Suite 230, Melville, NY, 11747",40.7814623,-73.43849469999999,10687.385818
124,CONAGRA FOODS INC,"One ConAgra Drive, Omaha, NE, 68102",41.2553891,-95.9263818,11099.351317
125,CONSOLIDATED EDISON INC,"4 Irving Place, New York, NY, 10003",40.7341443,-73.9883294,10709.972497
126,BIGLARI HOLDINGS INC,"17802 IH 10 West, Suite 400, San Antonio, TX, 78257",29.6097643,-98.6051595,12406.556082
127,CMS ENERGY CORP,"One Energy Plaza, Jackson, MI, 49201",42.2466617,-84.4022463,10824.769579
128,COOPER COMPANIES INC,"6140 Stoneridge Mall Road, Suite 590, Pleasanton, CA, 94588",37.6977513,-121.9232221,11304.658906
129,MOLSON COORS BREWING CO,"1801 California Street, Suite 4600, Denver, CO, 80202",39.7479555,-104.9890457,11292.806011
130,CORNING INC,"One Riverfront Plaza, Corning, NY, 14831",42.1453767,-77.0558823,10656.073883
131,COUSINS PROPERTIES INC,"191 Peachtree Street NE, Suite 500, Atlanta, GA, 30303",33.7590563,-84.3873043,11736.01107
132,CRACKER BARREL OLD CTRY STOR,"305 Hartmann Drive, Lebanon, TN, 37088",36.226892,-86.3156897,11513.144995
133,CRANE CO,"100 First Stamford Place, Stamford, CT, 6902",41.0443102,-73.5486083,10664.003646
134,CUBIC CORP,"9333 Balboa Avenue, San Diego, CA, 92123",32.8214341,-117.1284975,11930.798401
135,CULLEN/FROST BANKERS INC,"100 West Houston Street, San Antonio, TX, 78205",29.4262536,-98.494108,12426.164227
