ticker,security,sector,sub industry,location,date
MMM,3M Company,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ABT,Abbott Laboratories,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ABMD,ABIOMED Inc,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ACN,Accenture plc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ATVI,Activision Blizzard,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ADBE,Adobe Systems Inc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMD,Advanced Micro Devices Inc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AAP,Advance Auto Parts,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AES,AES Corp,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AET,Aetna Inc,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMG,Affiliated Managers Group Inc,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AFL,AFLAC Inc,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
A,Agilent Technologies Inc,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
APD,Air Products & Chemicals Inc,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AKAM,Akamai Technologies Inc,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ALK,Alaska Air Group Inc,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ALB,Albemarle Corp,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ARE,Alexandria Real Estate Equities Inc,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ALGN,Align Technology,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ALLE,Allegion,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ADS,Alliance Data Systems,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
LNT,Alliant Energy Corp,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ALL,Allstate Corp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GOOGL,Alphabet Inc Class A,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
GOOG,Alphabet Inc Class C,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
MO,Altria Group Inc,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMZN,Amazon.com Inc.,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AEE,Ameren Corp,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AAL,American Airlines Group,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AEP,American Electric Power,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AXP,American Express Co,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AIG,"American International Group, Inc.",Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMT,American Tower Corp.,Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AWK,American Water Works Company Inc,Utilities,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMP,Ameriprise Financial,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ABC,AmerisourceBergen Corp,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AME,AMETEK Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMGN,Amgen Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
APH,Amphenol Corp,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
APC,Anadarko Petroleum Corp,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ADI,"Analog Devices, Inc.",Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ANSS,ANSYS,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ANTM,Anthem Inc.,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AON,Aon plc,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AOS,A.O. Smith Corp,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
APA,Apache Corporation,Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AIV,Apartment Investment & Management (Aimco),Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AAPL,Apple Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AMAT,Applied Materials Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
APTV,Aptiv Plc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ADM,Archer-Daniels-Midland Co,Consumer Staples,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ARNC,Arconic Inc.,Industrials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ANET,Arista Networks,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AJG,Arthur J. Gallagher & Co.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AIZ,Assurant Inc.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
T,AT&T Inc.,Communication Services,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ADSK,Autodesk Inc.,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
ADP,Automatic Data Processing,Information Technology,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AZO,AutoZone Inc,Consumer Discretionary,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AVB,"AvalonBay Communities, Inc.",Real Estate,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
AVY,Avery Dennison Corp,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BHGE,"Baker Hughes, a GE Company",Energy,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BLL,Ball Corp,Materials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BAC,Bank of America Corp,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
BK,The Bank of New York Mellon Corp.,Financials,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21
