gvkey,datadate,fyear,cusip,at,xrd
1004,20100531,2009,361105,1501.042,
1004,20110531,2010,361105,1703.727,
1004,20120531,2011,361105,2195.653,
1004,20130531,2012,361105,2136.9,
1004,20140531,2013,361105,2199.5,
1013,20100930,2010,886309,1474.5,69.7
1045,20101231,2010,02376R102,25088,
1045,20111231,2011,02376R102,23848,
1045,20121231,2012,02376R102,23510,
1045,20131231,2013,02376R102,42278,
1045,20141231,2014,02376R102,43771,
1050,20101231,2010,125141101,74.791,0.053
1050,20111231,2011,125141101,79.345,
1050,20121231,2012,125141101,94.104,
1050,20131231,2013,125141101,348.536,
1050,20141231,2014,125141101,414.365,
1062,20101130,2010,G3156P103,671.58,
1062,20101130,2010,G3156P103,671.58,
1062,20111130,2011,G3156P103,632.715,
1062,20111130,2011,G3156P103,632.715,
1062,20121130,2012,G3156P103,468.013,
1062,20121130,2012,G3156P103,468.013,
1062,20131130,2013,G3156P103,252.142,
1062,20131130,2013,G3156P103,252.142,
1062,20141130,2014,G3156P103,223.333,
1062,20141130,2014,G3156P103,223.333,
1072,20100331,2009,2444107,2051.492,6.831
1072,20110331,2010,2444107,2319.482,7.392
1072,20120331,2011,2444107,2468.012,7.716
1072,20130331,2012,2444107,2601.995,7.15
1072,20140331,2013,2444107,2384.988,10.514
1075,20101231,2010,723484101,12362.703,
1075,20111231,2011,723484101,13111.018,
1075,20121231,2012,723484101,13379.615,
1075,20131231,2013,723484101,13508.686,
1075,20141231,2014,723484101,14313.532,
1076,20101231,2010,2535300,1502.072,
1076,20111231,2011,2535300,1735.149,
1076,20121231,2012,2535300,1812.929,
1076,20131231,2013,2535300,1827.176,
1076,20141231,2014,2535300,2456.844,
1078,20101231,2010,2824100,59462.266,4037.624
1078,20111231,2011,2824100,60276.893,4801.914
1078,20121231,2012,2824100,67234.944,4610.182
1078,20131231,2013,2824100,42953,1452
1078,20141231,2014,2824100,41275,1345
1082,20100430,2009,81765M106,40.952,
1082,20110430,2010,81765M106,26.228,
1084,20101231,2010,98159J200,0.402,
1084,20111231,2011,98159J200,0.279,
1084,20121231,2012,98159J200,0.237,
1084,20131231,2013,98159J200,0.328,
1084,20141231,2014,98159J200,0.028,
1094,20100630,2010,4446100,231.851,0
1094,20110630,2011,4446100,311.665,
1094,20120630,2012,4446100,299.28,
1094,20130630,2013,4446100,323.43,2.834
1094,20140630,2014,4446100,467.984,5.222
1096,20101231,2010,617577101,2057.911,
1096,20111231,2011,617577101,3467.21,
1096,20121231,2012,617577101,4386.182,
1096,20131231,2013,617577101,5452.995,
1096,20141231,2014,617577101,7993.684,
1097,20101231,2010,4616207,101.863,
1097,20111231,2011,4616207,97.681,
1097,20121231,2012,4616207,85.769,
1097,20131231,2013,4616207,77.654,
1097,20141231,2014,4616207,75.698,
1104,20101231,2010,4816104,49.581,0.487
1104,20111231,2011,4816104,55.222,0.536
1104,20121231,2012,4816104,67.828,0.573
1104,20131231,2013,4816104,68.079,0.603
1104,20141231,2014,4816104,79.308,0.665
1117,20101231,2010,09180A100,34.792,4.859
1117,20111231,2011,09180A100,31.847,4.397
1117,20121231,2012,09180A100,33.96,3.667
1117,20131231,2013,09180A100,34.023,3.851
1117,20141231,2014,09180A100,36.986,3.694
1119,20101231,2010,6212104,,
1119,20111231,2011,6212104,,
1119,20121231,2012,6212104,,
1119,20131231,2013,6212104,,
1119,20141231,2014,6212104,,
1121,20101231,2010,6351308,301.305,
1121,20111231,2011,6351308,378.84,
1121,20121231,2012,6351308,419.501,
1121,20131231,2013,6351308,448.082,
1121,20141231,2014,6351308,340.814,
1161,20101231,2010,7903107,4964,1405
1161,20111231,2011,7903107,4954,1453
1161,20121231,2012,7903107,4000,1354
1161,20131231,2013,7903107,4337,1201
1161,20141231,2014,7903107,3767,1072
1166,20101231,2010,N07045102,1611.012,104.54
1166,20111231,2011,N07045102,2052.615,167.871
1166,20121231,2012,N07045102,1977.249,196.76
1166,20131231,2013,N07045102,2137.466,103.881
1166,20141231,2014,N07045102,2210.772,77.275
1173,20100131,2009,8015307,21.476,1.423
1173,20110131,2010,8015307,23.678,3.787
1173,20120131,2011,8015307,23.035,2.644
1173,20130131,2012,8015307,23.324,4.948
1177,20101231,2010,00817Y108,37739.4,
1177,20101231,2010,00817Y108,37739.4,
1177,20111231,2011,00817Y108,38593.1,
1177,20111231,2011,00817Y108,38593.1,
1177,20121231,2012,00817Y108,41494.5,
1177,20121231,2012,00817Y108,41494.5,
1177,20131231,2013,00817Y108,49871.8,
1177,20131231,2013,00817Y108,49871.8,
1177,20141231,2014,00817Y108,53402.1,
1177,20141231,2014,00817Y108,53402.1,
1186,20101231,2010,8474108,5500.351,
1186,20111231,2011,8474108,5034.262,
1186,20121231,2012,8474108,5255.842,
1186,20131231,2013,8474108,4959.359,
1186,20141231,2014,8474108,6840.538,
1209,20100930,2010,9158106,13505.9,114.7
1209,20110930,2011,9158106,14290.7,118.8
1209,20120930,2012,9158106,16941.8,126.4
1209,20130930,2013,9158106,17850.1,133.7
1209,20140930,2014,9158106,17779.1,141.4
1210,20100331,2009,9207101,29.604,
1210,20110331,2010,9207101,34.221,
1210,20120331,2011,9207101,35.083,
1210,20130331,2012,9207101,36.055,
1210,20140331,2013,9207101,37.221,
1224,20101231,2010,10284008,1167.597,
1224,20111231,2011,10284008,1166.8,
1224,20121231,2012,10284008,1182.876,
1224,20131231,2013,10284008,1198.075,
1224,20140930,2014,10284008,1424.6,
1225,20101231,2010,10392009,17994,
1225,20111231,2011,10392009,18477,
1225,20121231,2012,10392009,18712,
1225,20131231,2013,10392009,19251,
1225,20141231,2014,10392009,20552,
1228,20100630,2010,11612702,20.496,0.3
1228,20110630,2011,11612702,7.616,
1228,20120630,2012,11612702,8.108,
1228,20130630,2013,11612702,7.217,
1228,20140630,2014,11612702,6.765,
1230,20101231,2010,11659109,5016.6,
1230,20111231,2011,11659109,5195,
1230,20121231,2012,11659109,5505,
1230,20131231,2013,11659109,5838,
1230,20141231,2014,11659109,6181,
1234,20101231,2010,49904105,134.652,2.669
1234,20111231,2011,49904105,161.895,2.868
1234,20121231,2012,49904105,155.81,3.766
1234,20131231,2013,49904105,172.066,4.288
1234,20141231,2014,49904105,171.514,5.286
1239,20100930,2010,13078100,1878.275,16.7
1254,20101231,2010,57686G105,2495,
1254,20111231,2011,57686G105,2544,
1254,20121231,2012,57686G105,1174.3,
1254,20131231,2013,57686G105,1248.3,
1254,20141231,2014,57686G105,1401.8,
1257,20101231,2010,14752109,1679.3,
1257,20101231,2010,14752109,1679.3,0
1257,20111231,2011,14752109,1771.307,
1257,20111231,2011,14752109,1771.307,0
1257,20121231,2012,14752109,1481.81,
1257,20121231,2012,14752109,1481.81,0
1257,20131231,2013,14752109,1457.724,
1257,20131231,2013,14752109,1457.724,0
1257,20141231,2014,14752109,1423.216,
1257,20141231,2014,14752109,1423.216,0
1259,20100731,2010,87509Q105,2.242,0.518
