gvkey,datadate,fyear,tic,cusip,exchg,state
1004,20100531,2009,AIR,361105,11,IL
1004,20110531,2010,AIR,361105,11,IL
1004,20120531,2011,AIR,361105,11,IL
1004,20130531,2012,AIR,361105,11,IL
1004,20140531,2013,AIR,361105,11,IL
1013,20100930,2010,ADCT,886309,14,MN
1045,20101231,2010,AAL,02376R102,14,TX
1045,20111231,2011,AAL,02376R102,14,TX
1045,20121231,2012,AAL,02376R102,14,TX
1045,20131231,2013,AAL,02376R102,14,TX
1045,20141231,2014,AAL,02376R102,14,TX
1050,20101231,2010,CECE,125141101,14,TX
1050,20111231,2011,CECE,125141101,14,TX
1050,20121231,2012,CECE,125141101,14,TX
1050,20131231,2013,CECE,125141101,14,TX
1050,20141231,2014,CECE,125141101,14,TX
1062,20101130,2010,ASA,G3156P103,11,CA
1062,20101130,2010,ASA,G3156P103,11,CA
1062,20111130,2011,ASA,G3156P103,11,CA
1062,20111130,2011,ASA,G3156P103,11,CA
1062,20121130,2012,ASA,G3156P103,11,CA
1062,20121130,2012,ASA,G3156P103,11,CA
1062,20131130,2013,ASA,G3156P103,11,CA
1062,20131130,2013,ASA,G3156P103,11,CA
1062,20141130,2014,ASA,G3156P103,11,CA
1062,20141130,2014,ASA,G3156P103,11,CA
1072,20100331,2009,AVX,2444107,11,SC
1072,20110331,2010,AVX,2444107,11,SC
1072,20120331,2011,AVX,2444107,11,SC
1072,20130331,2012,AVX,2444107,11,SC
1072,20140331,2013,AVX,2444107,11,SC
1075,20101231,2010,PNW,723484101,11,AZ
1075,20111231,2011,PNW,723484101,11,AZ
1075,20121231,2012,PNW,723484101,11,AZ
1075,20131231,2013,PNW,723484101,11,AZ
1075,20141231,2014,PNW,723484101,11,AZ
1076,20101231,2010,AAN,2535300,11,GA
1076,20111231,2011,AAN,2535300,11,GA
1076,20121231,2012,AAN,2535300,11,GA
1076,20131231,2013,AAN,2535300,11,GA
1076,20141231,2014,AAN,2535300,11,GA
1078,20101231,2010,ABT,2824100,11,IL
1078,20111231,2011,ABT,2824100,11,IL
1078,20121231,2012,ABT,2824100,11,IL
1078,20131231,2013,ABT,2824100,11,IL
1078,20141231,2014,ABT,2824100,11,IL
1082,20100430,2009,SERV.1,81765M106,14,GA
1082,20110430,2010,SERV.1,81765M106,14,GA
1084,20101231,2010,WDDD,98159J200,19,MA
1084,20111231,2011,WDDD,98159J200,19,MA
1084,20121231,2012,WDDD,98159J200,19,MA
1084,20131231,2013,WDDD,98159J200,19,MA
1084,20141231,2014,WDDD,98159J200,19,MA
1094,20100630,2010,ACET,4446100,14,NY
1094,20110630,2011,ACET,4446100,14,NY
1094,20120630,2012,ACET,4446100,14,NY
1094,20130630,2013,ACET,4446100,14,NY
1094,20140630,2014,ACET,4446100,14,NY
1096,20101231,2010,MRCBF,617577101,19,ON
1096,20111231,2011,MRCBF,617577101,19,ON
1096,20121231,2012,MRCBF,617577101,19,ON
1096,20131231,2013,MRCBF,617577101,19,ON
1096,20141231,2014,MRCBF,617577101,19,ON
1097,20101231,2010,ACMTA,4616207,19,CT
1097,20111231,2011,ACMTA,4616207,19,CT
1097,20121231,2012,ACMTA,4616207,19,CT
1097,20131231,2013,ACMTA,4616207,19,CT
1097,20141231,2014,ACMTA,4616207,19,CT
1104,20101231,2010,ACU,4816104,12,CT
1104,20111231,2011,ACU,4816104,12,CT
1104,20121231,2012,ACU,4816104,12,CT
1104,20131231,2013,ACU,4816104,12,CT
1104,20141231,2014,ACU,4816104,12,CT
1117,20101231,2010,BKTI,09180A100,12,FL
1117,20111231,2011,BKTI,09180A100,12,FL
1117,20121231,2012,BKTI,09180A100,12,FL
1117,20131231,2013,BKTI,09180A100,12,FL
1117,20141231,2014,BKTI,09180A100,12,FL
1119,20101231,2010,ADX,6212104,11,MD
1119,20111231,2011,ADX,6212104,11,MD
1119,20121231,2012,ADX,6212104,11,MD
1119,20131231,2013,ADX,6212104,11,MD
1119,20141231,2014,ADX,6212104,11,MD
1121,20101231,2010,AE,6351308,12,TX
1121,20111231,2011,AE,6351308,12,TX
1121,20121231,2012,AE,6351308,12,TX
1121,20131231,2013,AE,6351308,12,TX
1121,20141231,2014,AE,6351308,12,TX
1161,20101231,2010,AMD,7903107,14,CA
1161,20111231,2011,AMD,7903107,14,CA
1161,20121231,2012,AMD,7903107,14,CA
1161,20131231,2013,AMD,7903107,14,CA
1161,20141231,2014,AMD,7903107,14,CA
1166,20101231,2010,ASMIY,N07045102,19,
1166,20111231,2011,ASMIY,N07045102,19,
1166,20121231,2012,ASMIY,N07045102,19,
1166,20131231,2013,ASMIY,N07045102,19,
1166,20141231,2014,ASMIY,N07045102,19,
1173,20100131,2009,AIM,8015307,12,FL
1173,20110131,2010,AIM,8015307,12,FL
1173,20120131,2011,AIM,8015307,12,FL
1173,20130131,2012,AIM,8015307,12,FL
1177,20101231,2010,AET,00817Y108,11,CT
1177,20101231,2010,AET,00817Y108,11,CT
1177,20111231,2011,AET,00817Y108,11,CT
1177,20111231,2011,AET,00817Y108,11,CT
1177,20121231,2012,AET,00817Y108,11,CT
1177,20121231,2012,AET,00817Y108,11,CT
1177,20131231,2013,AET,00817Y108,11,CT
1177,20131231,2013,AET,00817Y108,11,CT
1177,20141231,2014,AET,00817Y108,11,CT
1177,20141231,2014,AET,00817Y108,11,CT
1186,20101231,2010,AEM,8474108,11,ON
1186,20111231,2011,AEM,8474108,11,ON
1186,20121231,2012,AEM,8474108,11,ON
1186,20131231,2013,AEM,8474108,11,ON
1186,20141231,2014,AEM,8474108,11,ON
1209,20100930,2010,APD,9158106,11,PA
1209,20110930,2011,APD,9158106,11,PA
1209,20120930,2012,APD,9158106,11,PA
1209,20130930,2013,APD,9158106,11,PA
1209,20140930,2014,APD,9158106,11,PA
1210,20100331,2009,AIRT,9207101,14,NC
1210,20110331,2010,AIRT,9207101,14,NC
1210,20120331,2011,AIRT,9207101,14,NC
1210,20130331,2012,AIRT,9207101,14,NC
1210,20140331,2013,AIRT,9207101,14,NC
1224,20101231,2010,EGN1,10284008,0,AL
1224,20111231,2011,EGN1,10284008,0,AL
1224,20121231,2012,EGN1,10284008,0,AL
1224,20131231,2013,EGN1,10284008,0,AL
1224,20140930,2014,EGN1,10284008,0,AL
1225,20101231,2010,SO1,10392009,0,AL
1225,20111231,2011,SO1,10392009,0,AL
1225,20121231,2012,SO1,10392009,0,AL
1225,20131231,2013,SO1,10392009,0,AL
1225,20141231,2014,SO1,10392009,0,AL
1228,20100630,2010,ALAN,11612702,19,AZ
1228,20110630,2011,ALAN,11612702,19,AZ
1228,20120630,2012,ALAN,11612702,19,AZ
1228,20130630,2013,ALAN,11612702,19,AZ
1228,20140630,2014,ALAN,11612702,19,AZ
1230,20101231,2010,ALK,11659109,11,WA
1230,20111231,2011,ALK,11659109,11,WA
1230,20121231,2012,ALK,11659109,11,WA
1230,20131231,2013,ALK,11659109,11,WA
1230,20141231,2014,ALK,11659109,11,WA
1234,20101231,2010,ATRI,49904105,14,TX
1234,20111231,2011,ATRI,49904105,14,TX
1234,20121231,2012,ATRI,49904105,14,TX
1234,20131231,2013,ATRI,49904105,14,TX
1234,20141231,2014,ATRI,49904105,14,TX
1239,20100930,2010,ACV.1,13078100,11,IL
1254,20101231,2010,MATX,57686G105,11,HI
1254,20111231,2011,MATX,57686G105,11,HI
1254,20121231,2012,MATX,57686G105,11,HI
1254,20131231,2013,MATX,57686G105,11,HI
1254,20141231,2014,MATX,57686G105,11,HI
1257,20101231,2010,ALX,14752109,11,NJ
1257,20101231,2010,ALX,14752109,11,NJ
1257,20111231,2011,ALX,14752109,11,NJ
1257,20111231,2011,ALX,14752109,11,NJ
1257,20121231,2012,ALX,14752109,11,NJ
1257,20121231,2012,ALX,14752109,11,NJ
1257,20131231,2013,ALX,14752109,11,NJ
1257,20131231,2013,ALX,14752109,11,NJ
1257,20141231,2014,ALX,14752109,11,NJ
1257,20141231,2014,ALX,14752109,11,NJ
1259,20100731,2010,ACEL,87509Q105,19,CA
1259,20110731,2011,ACEL,87509Q105,19,CA
1259,20120731,2012,ACEL,87509Q105,19,CA
1262,20101231,2010,AGMJF,15644107,19,ON
1262,20111231,2011,AGMJF,15644107,19,ON
